image_name,cluster_id,label,qw,qx,qy,qz,x,y,z,translation_error_to_cluster_mean_mm,rotation_error_to_cluster_mean_deg,is_main_cluster
000000.jpg,-1,object,0.79653823,0.44027690,0.15638096,-0.38370313,1.357808,-0.415535,1.886103,,,false
000001.jpg,0,object,0.80222181,0.44531779,0.16737775,-0.36071724,1.404802,-0.202033,1.806559,36.593375,1.367369,true
000002.jpg,1,object,-0.06984202,-0.43537879,0.74187575,-0.50516113,-0.284969,-0.356188,1.741924,29.705575,0.646014,false
000003.jpg,-1,object,0.06608765,0.44631889,0.47370483,0.75633035,0.974018,-0.366310,1.468437,,,false
000004.jpg,1,object,-0.07433426,-0.43291655,0.73687921,-0.51387421,-0.331794,-0.321094,1.731655,29.705575,0.646014,false
000005.jpg,-1,object,0.80839575,0.42382323,0.17806683,-0.36764437,1.290000,-0.294614,1.805948,,,false
000006.jpg,2,object,-0.02233629,-0.25487214,0.69873157,-0.66806846,0.090568,-0.368659,1.414595,13.255727,1.735976,false
000007.jpg,-1,object,0.16249093,0.58995003,-0.72241087,0.32199097,-0.124112,-0.697441,1.732811,,,false
000008.jpg,-1,object,-0.48760854,0.65314524,-0.38627676,-0.43177479,0.447788,-0.352985,1.428167,,,false
000009.jpg,-1,object,0.79605948,0.44008854,0.17044416,-0.37889336,1.366991,-0.318140,1.826063,,,false
000010.jpg,-1,object,-0.00836486,0.45026763,0.54457117,0.70755306,1.289968,-0.237331,1.550031,,,false
000011.jpg,3,object,0.62619947,-0.51004287,0.27104643,0.52370252,0.161749,-0.352883,1.356387,18.275998,0.279494,false
000012.jpg,-1,object,0.80662713,0.42322950,0.17638664,-0.37298421,1.369743,-0.335186,1.880912,,,false
000013.jpg,0,object,0.78909876,0.45945341,0.16037145,-0.37484224,1.469888,-0.191659,1.819079,39.274238,1.816934,true
000014.jpg,2,object,-0.04103792,-0.23228688,0.69843393,-0.67568390,0.084939,-0.366827,1.388753,13.255727,1.735976,false
000015.jpg,-1,object,0.15634274,0.58593210,-0.75132464,0.26029175,-0.117831,-0.732400,1.718575,,,false
000016.jpg,3,object,0.62380952,-0.50891612,0.27456015,0.52581631,0.172297,-0.321162,1.341604,18.275998,0.279494,false
000017.jpg,0,object,0.79339644,0.45179322,0.17800423,-0.36704151,1.433354,-0.208124,1.831437,10.770051,1.088401,true
000018.jpg,0,object,0.79560747,0.44649186,0.16686931,-0.37390962,1.422382,-0.243967,1.820274,34.893732,0.676933,true
000019.jpg,0,object,0.79695408,0.44402177,0.17420465,-0.37062326,1.451879,-0.214625,1.832225,18.721098,0.858963,true
