image_name,cluster_id,label,qw,qx,qy,qz,x,y,z,translation_error_to_cluster_mean_mm,rotation_error_to_cluster_mean_deg,is_main_cluster
image_rgb_00.png,0,object,0.01876100,0.44412971,0.51908667,0.73003141,1.126875,-0.376396,1.546624,31.284433,0.140284,false
image_rgb_01.png,1,object,0.80268211,0.43921710,0.16516239,-0.36811840,1.335033,-0.315062,1.814742,4.763579,0.857041,true
image_rgb_02.png,-1,object,0.02358970,0.44816211,0.52630816,0.72221463,1.064058,-0.461240,1.526262,,,false
image_rgb_03.png,-1,object,-0.85317361,-0.33964042,0.02530306,0.39509357,1.278566,-0.229290,1.775604,,,false
image_rgb_04.png,1,object,0.80314852,0.43373450,0.17127019,-0.37080098,1.323995,-0.301230,1.792981,31.518521,0.706267,true
image_rgb_05.png,-1,object,0.00415264,0.43748828,0.50798897,0.74197976,1.150350,-0.285619,1.535604,,,false
image_rgb_06.png,2,object,0.02447414,0.25226109,-0.69295974,0.67496085,0.079156,-0.369950,1.409748,34.611074,0.790503,false
image_rgb_07.png,-1,object,0.50469472,-0.64699385,0.40759498,0.40068509,0.362549,-0.392804,1.446775,,,false
image_rgb_08.png,2,object,0.03559380,0.24455196,-0.70288714,0.66699107,0.090247,-0.346577,1.396581,11.847338,1.438630,false
image_rgb_09.png,-1,object,0.01544210,0.44908052,0.53824036,0.71301160,1.156133,-0.333669,1.496979,,,false
image_rgb_10.png,-1,object,-0.00313991,0.45349885,0.54050274,0.70865063,1.241650,-0.278191,1.548180,,,false
image_rgb_11.png,2,object,0.01823375,0.25089707,-0.69692928,0.67157112,0.136679,-0.324116,1.387082,42.824189,0.925581,false
image_rgb_12.png,0,object,0.02047648,0.44389342,0.51772257,0.73109691,1.084979,-0.390666,1.502398,31.284433,0.140284,false
image_rgb_13.png,1,object,0.80024311,0.44275011,0.17485934,-0.36470196,1.329781,-0.328968,1.828674,15.685538,0.700773,true
image_rgb_14.png,-1,object,0.79452903,0.43784904,0.18537735,-0.37768649,1.362790,-0.392692,1.896239,,,false
image_rgb_15.png,-1,object,0.16263394,0.57442085,-0.76078917,0.25454024,-0.111856,-0.724463,1.724419,,,false
image_rgb_16.png,-1,object,0.62382353,-0.50951236,0.27024688,0.52745424,0.166668,-0.340530,1.336545,,,false
image_rgb_17.png,-1,object,0.78854854,0.45776709,0.16916622,-0.37419686,1.499559,-0.190412,1.848822,,,false
image_rgb_18.png,1,object,0.79763541,0.44033184,0.17829522,-0.37161329,1.345292,-0.329532,1.833300,22.536552,0.851736,true
image_rgb_19.png,-1,object,0.79805986,0.44401795,0.18696050,-0.36193134,1.433249,-0.189837,1.820884,,,false
