image_name,cluster_id,label,qw,qx,qy,qz,x,y,z,translation_error_to_cluster_mean_mm,rotation_error_to_cluster_mean_deg,is_main_cluster
000000.png,0,object,0.80700109,-0.44925785,0.37671694,0.07071762,-0.001997,-0.031974,1.595446,74.627899,2.546036,true
000001.png,-1,object,0.55995006,0.19622927,-0.39921059,0.69898564,-0.675022,-0.628212,1.654162,,,false
000002.png,0,object,0.81345451,-0.44758472,0.36809625,0.04964698,-0.049127,-0.035662,1.605696,27.231453,0.635084,true
000003.png,1,object,0.46919286,0.66221173,0.38410491,-0.44022393,-0.445728,-0.425890,1.551452,13.670020,2.018464,false
000004.png,0,object,0.81277601,-0.45824219,0.35428574,0.06237679,-0.088812,-0.020252,1.620788,32.201566,2.779371,true
000005.png,0,object,0.80701584,-0.46425474,0.35911936,0.06500964,-0.121024,-0.013895,1.616914,57.206387,3.231200,true
000006.png,0,object,0.81613447,-0.44428234,0.36519974,0.05627503,-0.045341,-0.033514,1.597937,32.817779,0.768437,true
000007.png,0,object,0.80659710,-0.45840668,0.36817880,0.06089992,-0.034051,-0.032923,1.608194,42.344571,2.242688,true
000008.png,0,object,0.81231675,-0.45272809,0.36281350,0.05954105,-0.077649,-0.037597,1.624135,19.091050,1.649953,true
000009.png,0,object,0.80895291,-0.46326408,0.35427222,0.07397825,-0.118111,-0.010711,1.631684,61.069961,3.922093,true
000010.png,0,object,0.81986759,-0.42639798,0.38013672,0.03870368,-0.053286,-0.084799,1.586496,49.069438,2.770600,true
000011.png,0,object,0.81148784,-0.44587694,0.37335764,0.05731759,-0.042643,-0.031681,1.589978,38.708489,0.871420,true
000012.png,0,object,0.81037170,-0.46320818,0.35204537,0.06928164,-0.163867,-0.012289,1.645038,102.698669,3.704822,true
000013.png,0,object,0.82537303,-0.40782909,0.38974229,0.02314628,-0.070229,-0.094638,1.594832,50.714588,5.820106,true
000014.png,0,object,0.82150163,-0.41775627,0.38722500,0.02591474,-0.056427,-0.097647,1.592582,56.946942,4.675559,true
000015.png,0,object,0.82767919,-0.40770446,0.38492238,0.02364289,-0.090478,-0.085153,1.591610,45.398688,5.669023,true
000016.png,1,object,0.47208734,0.66506426,0.39372521,-0.42403247,-0.455547,-0.433392,1.571045,10.717865,0.992274,false
000017.png,1,object,0.48636222,0.64885850,0.40646951,-0.42097147,-0.456999,-0.420832,1.566945,8.179220,2.289740,false
000018.png,-1,object,0.79472085,-0.46456344,0.38575995,0.06155353,0.199141,-0.063719,1.580850,,,false
000019.png,0,object,0.81699300,-0.43804899,0.37254070,0.04299953,-0.103491,-0.061451,1.605313,33.140334,1.243575,true
