排序,搜索起始_rx_度,搜索起始_ry_度,搜索起始_rz_度,收敛结束_rx_度,收敛结束_ry_度,收敛结束_rz_度,最终平移_x_米,最终平移_y_米,最终平移_z_米,覆盖程度,loss
1,0.0,270.0,180.0,-89.17860383442545,-73.0725819033781,-100.6426370426807,-0.6869082999616952,0.33060066021237505,-0.6000722915756441,0.01025,0.0057353995654480395
2,45.0,270.0,135.0,-89.17860383442564,-73.07258190337811,-100.64263704268072,-0.6869082999616944,0.3306006602123751,-0.6000722915756448,0.01025,0.0057353995654480395
3,90.0,270.0,90.0,-89.17860383442547,-73.07258190337811,-100.64263704268076,-0.686908299961694,0.33060066021237483,-0.6000722915756449,0.01025,0.005735399565448041
4,225.0,270.0,315.0,-89.17860383442553,-73.07258190337812,-100.64263704268072,-0.6869082999616942,0.33060066021237483,-0.6000722915756445,0.01025,0.005735399565448047
5,180.0,270.0,0.0,-89.17860383442563,-73.07258190337811,-100.64263704268068,-0.6869082999616956,0.33060066021237494,-0.600072291575645,0.01025,0.005735399565448054
6,135.0,270.0,45.0,-89.17860383442581,-73.0725819033781,-100.64263704268058,-0.6869082999616966,0.33060066021237505,-0.6000722915756447,0.01025,0.005735399565448058
7,315.0,270.0,225.0,-89.17860383442556,-73.0725819033781,-100.64263704268063,-0.6869082999616956,0.33060066021237544,-0.6000722915756452,0.01025,0.005735399565448058
8,270.0,270.0,270.0,-89.17860383442564,-73.07258190337812,-100.64263704268055,-0.686908299961697,0.33060066021237494,-0.6000722915756453,0.01025,0.005735399565448064
9,0.0,315.0,0.0,27.372300671371892,-49.73476427650664,-32.34960201597354,-0.5553130837432377,0.3518672468746673,-0.7162477456391109,0.01025,0.005749200066081735
10,180.0,225.0,180.0,27.37230067137189,-49.734764276506596,-32.349602015973495,-0.5553130837432394,0.3518672468746675,-0.716247745639112,0.01025,0.005749200066081743
11,315.0,315.0,0.0,27.356459816762104,-49.487735685406115,-32.47706137605092,-0.5578699131805034,0.35525707420372477,-0.713249318013428,0.01015,0.005694709678907111
12,135.0,225.0,180.0,27.356459816762097,-49.48773568540608,-32.477061376050834,-0.5578699131805054,0.3552570742037254,-0.7132493180134282,0.01015,0.005694709678907116
13,225.0,225.0,180.0,21.253865326951736,-39.34929508642564,-26.677176186984266,-0.7360318341644043,0.3587427462233096,-0.5871665752840408,0.00995,0.005360063504391262
14,45.0,315.0,0.0,21.253865326951644,-39.34929508642563,-26.67717618698425,-0.7360318341644054,0.35874274622330987,-0.5871665752840417,0.00995,0.005360063504391296
15,0.0,0.0,0.0,18.33451666067596,1.6201582547920377,-9.311180908762298,-0.7284532865866508,0.34480138336158533,-0.5784935556150645,0.00995,0.005785074265667579
16,180.0,180.0,180.0,18.334516660676048,1.6201582547920241,-9.311180908762271,-0.7284532865866533,0.3448013833615855,-0.5784935556150655,0.00995,0.005785074265667591
17,225.0,180.0,225.0,121.49720552793299,67.9612784203259,116.54556033426897,-0.7658763025213975,-0.17749958219243953,0.8718281335749902,0.00955,0.005273230768827619
18,45.0,0.0,45.0,121.497205527933,67.96127842032588,116.54556033426906,-0.7658763025214006,-0.1774995821924396,0.8718281335749912,0.00955,0.005273230768827658
19,225.0,225.0,270.0,-30.34900034985146,-37.007118720588664,-169.5008666546693,-0.15428225707804746,0.4392854234972429,-0.7695852662437805,0.0075,0.005754704369193586
20,45.0,315.0,90.0,-30.349000349851472,-37.007118720588714,-169.50086665466924,-0.1542822570780472,0.4392854234972436,-0.7695852662437844,0.0075,0.0057547043691936126
21,315.0,315.0,270.0,-54.067226350453744,-64.69138712053167,-94.86748120613606,-0.7579392441547242,-0.1610757494477983,-0.5846932011612523,0.00745,0.005232063680632549
22,135.0,225.0,90.0,-54.067226350453765,-64.69138712053169,-94.86748120613602,-0.7579392441547286,-0.1610757494478017,-0.5846932011612525,0.00745,0.0052320636806325906
