排序,搜索起始_rx_度,搜索起始_ry_度,搜索起始_rz_度,收敛结束_rx_度,收敛结束_ry_度,收敛结束_rz_度,覆盖程度,loss
1,0.0,45.0,0.0,16.575571218674597,-19.462121369291058,-0.6180405489644166,0.0107,0.005367758534829455
2,180.0,135.0,180.0,16.57557121867464,-19.462121369291054,-0.6180405489644258,0.0107,0.005367758534829487
3,315.0,315.0,0.0,20.980285638314264,-36.45374883515729,-19.389790270871803,0.0107,0.005728978428046062
4,135.0,225.0,180.0,20.98028563831432,-36.4537488351573,-19.38979027087176,0.0107,0.005728978428046097
5,0.0,315.0,0.0,21.149759488148174,-33.738898975573164,-24.159554307744937,0.0101,0.005716693453407378
6,180.0,225.0,180.0,21.149759488148177,-33.73889897557314,-24.15955430774486,0.0101,0.0057166934534074185
7,225.0,225.0,180.0,21.25148896547955,-33.687481939392995,-24.39749625832453,0.01005,0.005694368678267914
8,45.0,315.0,0.0,21.251488965479542,-33.687481939393095,-24.397496258324548,0.01005,0.005694368678267951
9,0.0,270.0,180.0,-105.14385288147791,-69.87761970553147,-82.98651481574072,0.0098,0.005354753031492095
10,90.0,270.0,90.0,-105.14385288147793,-69.87761970553147,-82.98651481574072,0.0098,0.0053547530314921
11,180.0,270.0,0.0,-105.14385288147795,-69.87761970553147,-82.98651481574072,0.0098,0.005354753031492105
12,225.0,270.0,315.0,-105.14385288147798,-69.87761970553146,-82.98651481574072,0.0098,0.005354753031492108
13,315.0,270.0,225.0,-105.14385288147794,-69.87761970553146,-82.98651481574065,0.0098,0.005354753031492108
14,45.0,270.0,135.0,-105.14385288147793,-69.87761970553147,-82.98651481574072,0.0098,0.00535475303149211
15,270.0,270.0,270.0,-105.14385288147798,-69.87761970553146,-82.9865148157406,0.0098,0.005354753031492121
16,135.0,270.0,45.0,-105.14385288147804,-69.87761970553147,-82.98651481574065,0.0098,0.005354753031492132
17,225.0,315.0,0.0,47.041336274765484,-66.2482860957419,-54.82277840694545,0.00945,0.00564739538540244
18,45.0,225.0,180.0,47.041336274765925,-66.24828609574193,-54.82277840694559,0.00945,0.005647395385402452
19,90.0,225.0,180.0,47.09835026349421,-66.270312624066,-54.8705003207001,0.00945,0.00565160044433047
20,270.0,315.0,0.0,47.09835026349428,-66.27031262406602,-54.87050032070008,0.00945,0.005651600444330472
21,180.0,180.0,180.0,17.972229777200084,2.4053627657558954,-11.02011476431007,0.0093,0.00557362629614197
22,0.0,0.0,0.0,17.97222977720015,2.4053627657559447,-11.020114764310033,0.0093,0.005573626296141976
23,225.0,180.0,225.0,-147.3077188468619,-43.483158088468585,-41.77467695782147,0.00915,0.00564538898481666
24,45.0,0.0,45.0,-147.3077188468619,-43.48315808846849,-41.77467695782147,0.00915,0.005645388984816702
25,225.0,225.0,270.0,-22.18281421854157,-34.638772450247885,-178.72934475255613,0.00865,0.005919965717455744
26,45.0,315.0,90.0,-22.182814218541484,-34.63877245024786,-178.7293447525561,0.00865,0.005919965717455789
27,315.0,315.0,270.0,-61.71029719841285,-61.02291612128631,-76.05581073820773,0.0077,0.00495691031818942
28,135.0,225.0,90.0,-61.71029719841282,-61.022916121286315,-76.05581073820773,0.0077,0.004956910318189459
29,270.0,225.0,180.0,-113.10041103190369,-69.51909652824541,-109.37384080051591,0.0077,0.005475943806975293
30,90.0,315.0,0.0,-113.10041103190366,-69.51909652824544,-109.37384080051581,0.0077,0.005475943806975314
31,135.0,315.0,0.0,-113.09787757947628,-69.51884288241506,-109.37580771994315,0.0077,0.00547599613656112
32,315.0,225.0,180.0,-113.09787757947608,-69.51884288241504,-109.37580771994325,0.0077,0.0054759961365611395
33,0.0,225.0,180.0,-69.99127215131193,-64.08425999133861,-148.77616003304405,0.0075,0.0057080832785035155
34,180.0,315.0,0.0,-69.99127215131195,-64.08425999133861,-148.77616003304405,0.0075,0.005708083278503537
35,180.0,225.0,0.0,-32.147394594340994,-9.67239601187115,-151.1906793581916,0.00745,0.005923987658925976
36,0.0,315.0,180.0,-32.147394594340966,-9.672396011871106,-151.19067935819155,0.00745,0.005923987658926006
37,45.0,0.0,90.0,82.23558251843535,49.254779918452485,62.705970149213215,0.00715,0.005434444558584282
38,225.0,180.0,270.0,82.23558251843528,49.25477991845254,62.70597014921334,0.00715,0.005434444558584349
39,135.0,180.0,90.0,-47.002438178149106,-36.9755861875161,-155.92276586319687,0.00655,0.005891088032732015
40,315.0,0.0,270.0,-47.002438178149085,-36.97558618751601,-155.9227658631969,0.00655,0.0058910880327320185
41,0.0,0.0,45.0,0.0,-0.0,45.0,0.0,0.0
42,0.0,0.0,90.0,0.0,-0.0,90.0,0.0,0.0
43,0.0,0.0,135.0,0.0,-0.0,135.0,0.0,0.0
44,0.0,0.0,180.0,0.0,-0.0,180.0,0.0,0.0
45,0.0,0.0,225.0,0.0,-0.0,-135.00000000000003,0.0,0.0
46,0.0,0.0,270.0,0.0,-0.0,-90.00000000000001,0.0,0.0
47,0.0,0.0,315.0,0.0,-0.0,-45.000000000000014,0.0,0.0
48,0.0,45.0,45.0,-4.349702147752948e-15,45.0,45.0,0.0,0.0
